folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,proagro,mesproc,progan,mesprogan,nvo_apoyo,nvo_prog1,nvo_act1,nvo_cant1,nvo_prog2,nvo_act2,nvo_cant2,nvo_prog3,nvo_act3,nvo_cant3,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
0100061705,1,01,2,5,1,2,2,,,,,,,,,6,1,1,0,0, , ,0, , ,1,1,0,90000, ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,36000,0,0,0,8852.45,0,8852.45
0100068701,1,02,1,4,1,,2,,,,,,,,,1,0, , , , , , , , , , , , ,109000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,109000,0,0,0,26803.27,0,26802.29
0100073403,2,01,1,5,1,2,2,,,,,,,,,6,0, , , , , , , , , , , ,146000,6000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,3,175000,0,0,108800,42798.91,0,0,26608.69,16188.26,0
0100111204,1,03,1,5,1,2,1,,2,,,,,,,,1,1,0,1,1,0,0, , ,0, , ,75000,30000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,3,225000,0,0,194700,55631.86,0,0,48140.1,7491.75,0
0100162004,1,02,1,4,1,,2,,,,,,,,,6,5,5,0,5,5,0,0, , ,0, , ,15500, ,2, , , , , , , , ,3450,02, ,,2, , , , , , , , , ,2,4,30000,15500,2500,36000,7336.95,3790.76,611.41,8804.34,2934.78,0
0100200802,1,01,2,4,1,,2,,,,,,,,,1,1,1,0,1,1,0,0, , ,0, , , ,7000,2, , , , , , , , , ,, ,,1,2015,4,1200, , , , , , ,2,3,49000,0,0,21200,12049.18,0,0,5213.11,6834.09,0
0100262814,1,01,1,4,1,,1,,2,,,5,,,,,10,10,0,10,10,0,0, , ,0, , , , ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,3,400000,99,0,254500,98360.65,24.34,0,62581.96,35802.29,0
0100262816,1,02,2,5,1,1,2,,,,,,,,,6,2,1,1,0, , ,2,1,1,0, , ,82000, ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,75180,1560,0,39000,18486.88,383.6,0,9590.16,9280.32,0
0100280503,1,01,1,4,1,,2,,,,,,,,,5,2,2,0,2,2,0,0, , ,0, , , ,8500,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,3,391680,16320,0,319880,95791.3,3991.3,0,78231.52,21550.1,0
0100295921,1,01,1,4,1,,2,,,,,,,,,5,4,4,0,4,4,0,0, , ,0, , , , ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,3,80000,0,0,54200,19565.21,0,0,13255.43,6309.78,0
0100296411,1,01,1,5,1,1,2,,,,,,,,,6,0, , , , , , , , , , , ,1500, ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,1900,0,4080,0,464.67,0,997.82,0,531.19
0100296613,1,01,1,4,1,,2,,,,,,,,,7,0, , , , , , , , , , , , ,50000,2, , , , , , , , ,11000,03, ,,1,2011,4,20000, , , , , , ,2,4,0,0,0,24000,0,0,0,5901.63,0,5901.63
0100296613,1,01,1,5,1,2,2,,,,,,,,,2,0, , , , , , , , , , , ,185000,32000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,60000,0,0,2000,14754.09,0,0,491.8,14261.31,0
0100296616,1,01,1,4,1,,2,,,,,,,,,1,0, , , , , , , , , , , , ,50000,2, , , , , , , , ,11000,03, ,,2, , , , , , , , , ,2,4,248000,0,0,23000,60983.6,0,0,5655.73,55327.86,0
0100296616,1,01,1,5,1,2,2,,,,,,,,,6,0, , , , , , , , , , , ,92000,40000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,24000,0,0,13200,5901.63,0,0,3245.9,2655.73,0
0100296920,1,01,1,4,1,,2,,,,,,,,,6,1,1,0,0, , ,1,1,0,0, , , ,34600,2, , , , , , , , , ,, ,,1,2005,4,900, , , , , , ,2,4,0,0,0,33750,0,0,0,8254.07,0,8252.6
0100297409,1,01,1,4,1,,2,,,,,,,,,6,0, , , , , , , , , , , , , ,2, , , , , , , , ,12160,07, ,,2, , , , , , , , , ,2,4,0,600,0,14940,0,146.73,0,3653.8,0,3507.06
0100297409,1,01,1,5,1,2,2,,,,,,,,,6,0, , , , , , , , , , , ,46000,16000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,10900,0,0,0,2665.76,0,2664.78
0100297618,1,01,1,4,1,,1,,2,,,,,,,,0, , , , , , , , , , , , , ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,60000,0,0,11000,14754.09,0,0,2704.91,12048.19,0
0100297618,1,01,1,5,1,1,1,,2,,,,,,,,0, , , , , , , , , , , ,75000,30000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,3,0,0,0,4000,0,0,0,983.6,0,982.62
0100297822,1,02,2,4,1,,2,,,,,,,,,6,0, , , , , , , , , , , , ,20000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,33000,0,0,0,8114.75,0,8114.75
0100297822,1,02,2,5,1,2,2,,,,,,,,,6,1,1,0,1,1,0,0, , ,0, , ,600000, ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,230000,0,0,133400,56557.37,0,0,32803.27,23754.09,0
0100298714,1,01,1,4,1,,2,,,,,,,,,6,3,3,0,0, , ,0, , ,3,3,0, ,10000,2, , , , , , , , ,6200,07, ,,2, , , , , , , , , ,2,4,0,100,0,11200,0,24.59,0,2754.09,0,2729.5
0100298921,1,01,1,4,1,,2,,,,,,,,,6,0, , , , , , , , , , , , , ,2, , , , , , , , ,6000,04, ,,2, , , , , , , , , ,2,4,0,150,0,6000,0,36.68,0,1467.39,0,1429.23
0100298921,1,01,1,5,1,2,2,,,,,,,,,6,0, , , , , , , , , , , ,90000,20000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,50650,0,0,0,12387.22,0,12384.78
0100299201,1,01,1,4,1,,1,,2,,,,,7,,,0, , , , , , , , , , , , ,30000,2, , , , , , , , ,6000,05, ,,1,2012,4,4000, , , , , , ,2,3,0,0,0,30000,0,0,0,7417.58,0,7417.58
0160306205,1,01,1,5,1,2,2,,,,,,,,,6,0, , , , , , , , , , , ,180000,60000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,45000,0,0,2000,11126.37,0,0,494.5,10630.87,0
0160306206,1,01,2,5,1,2,1,,,3,4,,,,,,1,1,0,0, , ,1,1,0,0, , ,210000,8000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,66600,0,0,0,16467.03,0,16467.03
0160306411,1,01,1,5,1,1,2,,,,,,,,,2,2,2,0,1,1,0,1,0,1,0, , ,56000,16000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,63600,8904,0,65200,15554.34,2177.6,0,15945.65,1784.34,0
0160307306,1,01,2,4,1,,2,,,,,,,,,6,0, , , , , , , , , , , , ,70000,1, , , , ,4000, , , ,10000,05, ,,1,2011,4,2000, , , , , , ,2,3,0,0,0,25600,0,0,0,6260.86,0,6259.89
0160309817,1,01,1,5,1,1,2,,,,,,,,,1,0, , , , , , , , , , , ,3200,4800,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,3,6600,0,200,2520,1622.95,0,49.18,619.67,1050.49,0
0160311203,1,01,1,4,1,,2,,,,,,,,,6,3,3,0,2,2,0,0, , ,1,1,0, ,30000,2, , , , , , , , ,10000,04, ,,1,2011,4,10000, , , , , , ,2,4,0,0,0,10550,0,0,0,2608.51,0,2608.02
0160311203,1,01,1,5,1,2,2,,,,,,,,,6,3,3,0,2,2,0,0, , ,1,1,0,192000,90000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,432000,0,0,82300,106813.18,0,0,20348.9,86462.3,0
0160311409,1,01,1,4,1,,2,,,,,,,,,6,1,1,0,0, , ,1,1,0,0, , , ,60000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,168000,0,0,96350,41086.95,0,0,23563.85,17520.65,0
0160311412,1,02,1,5,1,2,2,,,,,,,,,6,0, , , , , , , , , , , ,16200,4320,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,13500,0,0,10600,3301.63,0,0,2592.39,707.28,0
0160311613,1,01,1,4,1,,2,,,,,,,,,6,0, , , , , , , , , , , , ,15000,1, , , ,1000, , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,2000,0,0,0,491.8,0,489.83
0160311615,1,01,1,4,1,,2,,,,,,,,,7,0, , , , , , , , , , , , ,100000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,13000,0,0,0,3196.72,0,3195.73
0160311615,1,01,1,5,1,1,2,,,,,,,,,6,0, , , , , , , , , , , ,120000,15000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,40000,0,0,48560,9836.06,0,0,11940.98,0,2103.93
0160311820,1,01,2,4,1,,2,,,,,,,,,5,0, , , , , , , , , , , , ,9000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,3,0,400,0,0,0,98.36,0,0,97.37,0
0160312301,1,03,2,4,1,,2,,,,,,,,,4,1,1,0,0, , ,1,1,0,0, , , ,20000,2, , , , , , , , ,8000,05, ,,1,2011,4,1800, , , , , , ,2,3,0,0,0,7700,0,0,0,1883.15,0,1881.19
0160312301,1,03,2,5,1,1,2,,,,,,,,,4,1,1,0,0, , ,1,1,0,0, , ,72000, ,2, , , , , , , , ,8000,05, ,,2, , , , , , , , , ,2,3,10000,2500,0,23500,2445.65,611.41,0,5747.28,0,2688.26
0160312303,1,01,2,4,1,,2,,,,,,,,,5,1,1,0,1,1,0,0, , ,0, , , ,17000,2, , , , , , , , ,8000,05, ,,1,2011,4,1200, , , , , , ,2,3,0,0,0,10100,0,0,0,2470.1,0,2468.15
