folioviv,foliohog,numren,id_trabajo,tipoact,numprod,codigo,cosecha,destino,cantidad,valestim
0100162004,1,02,1,4,05,194,1,7,500,2500
0100162004,1,02,1,4,02,140,1,1,1000,8000
0100162004,1,02,1,4,01,098,1,1,500,7500
0100200802,1,01,2,4,02,026,1,6,800,4800
0100262814,1,01,1,4,01,112,1,6,30,99
0100262814,1,01,1,4,01,112,1,1,30,99
0100262816,1,02,2,5,02,279,0,1,26,1560
0100262816,1,02,2,5,02,279,0,6,26,1560
0100280503,1,01,1,4,01,010,1,1,3360,16320
0100296411,1,01,1,5,03,279,0,1,800,1900
0100297409,1,01,1,4,01,140,1,6,30,300
0100297409,1,01,1,4,01,140,1,4,1000,10000
0100297409,1,01,1,4,01,140,1,1,100,600
0100297618,1,01,1,5,03,294,0,2,11000,5000
0100298714,1,01,1,4,03,088,1,1,10,100
0100298714,1,01,1,4,02,194,1,6,2000,6000
0100298714,1,01,1,4,03,088,1,6,40,80
0100298921,1,01,1,4,02,080,1,1,30,150
0100298921,1,01,1,4,02,080,1,6,20,100
0160306205,1,01,1,5,03,284,0,2,21600,172800
0160306411,1,01,1,5,03,284,0,1,1113,8904
0160309817,1,01,1,5,01,248,0,6,4,320
0160309817,1,01,1,5,01,248,0,7,1,200
0160309817,1,01,1,5,02,277,0,6,2,200
0160311203,1,01,1,5,04,284,0,2,1260,17640
0160311615,1,01,1,5,03,284,0,2,608,8512
0160311820,1,01,2,4,02,194,1,6,1000,3000
0160311820,1,01,2,4,03,088,1,1,201,400
0160312301,1,03,2,5,03,294,0,2,3000,7500
0160312301,1,03,2,5,02,284,0,6,350,2500
0160312301,1,03,2,5,02,284,0,1,350,2500
0160312509,1,01,1,5,02,284,0,1,2928,23424
0160313408,1,01,1,5,03,284,0,1,159,1272
0160313408,1,01,1,5,03,284,0,2,3650,29200
0160313408,1,01,1,5,03,284,0,6,120,960
0160313409,1,01,1,5,03,284,0,2,7300,51100
0160313412,1,01,1,5,07,284,0,1,1460,8760
0160313412,1,01,1,5,07,284,0,6,365,2190
