folioviv,foliohog,numren,id_trabajo,tipoact,clave,gasto
0100061705,1,01,2,5,C06,1400
0100061705,1,01,2,5,C07,15000
0100061705,1,01,2,5,C08,17500
0100061705,1,01,2,5,C10,2100
0100061705,1,01,2,5,C00,36000
0100068701,1,02,1,4,B06,93000
0100068701,1,02,1,4,B07,6000
0100068701,1,02,1,4,B04,10000
0100068701,1,02,1,4,B00,109000
0100073403,2,01,1,5,C06,33800
0100073403,2,01,1,5,C08,60000
0100073403,2,01,1,5,C10,5000
0100073403,2,01,1,5,C16,10000
0100073403,2,01,1,5,C00,108800
0100111204,1,03,1,5,C19,35000
0100111204,1,03,1,5,C13,12600
0100111204,1,03,1,5,C00,194700
0100111204,1,03,1,5,C09,12000
0100111204,1,03,1,5,C10,7500
0100111204,1,03,1,5,C01,14000
0100111204,1,03,1,5,C07,80000
0100111204,1,03,1,5,C08,33600
0100162004,1,02,1,4,B04,5000
0100162004,1,02,1,4,B10,10000
0100162004,1,02,1,4,B02,6000
0100162004,1,02,1,4,B15,4000
0100162004,1,02,1,4,B07,7000
0100162004,1,02,1,4,B06,4000
0100162004,1,02,1,4,B00,36000
0100200802,1,01,2,4,B00,21200
0100200802,1,01,2,4,B05,5000
0100200802,1,01,2,4,B06,3000
0100200802,1,01,2,4,B07,1200
0100200802,1,01,2,4,B09,4500
0100200802,1,01,2,4,B10,1500
0100200802,1,01,2,4,B15,6000
0100262814,1,01,1,4,B20,15000
0100262814,1,01,1,4,B15,180000
0100262814,1,01,1,4,B13,5000
0100262814,1,01,1,4,B11,5000
0100262814,1,01,1,4,B10,8000
0100262814,1,01,1,4,B06,18000
0100262814,1,01,1,4,B07,17000
0100262814,1,01,1,4,B09,2000
0100262814,1,01,1,4,B05,1500
0100262814,1,01,1,4,B04,3000
0100262814,1,01,1,4,B00,254500
0100262816,1,02,2,5,C00,39000
0100262816,1,02,2,5,C08,39000
0100280503,1,01,1,4,B00,319880
0100280503,1,01,1,4,B15,240000
0100280503,1,01,1,4,B10,8000
0100280503,1,01,1,4,B09,18000
0100280503,1,01,1,4,B02,48000
0100280503,1,01,1,4,B06,5880
0100295921,1,01,1,4,B10,5000
0100295921,1,01,1,4,B09,14400
0100295921,1,01,1,4,B05,5000
0100295921,1,01,1,4,B00,54200
0100295921,1,01,1,4,B06,800
0100295921,1,01,1,4,B07,6000
0100295921,1,01,1,4,B11,5000
0100295921,1,01,1,4,B15,10000
0100295921,1,01,1,4,B02,8000
0100296411,1,01,1,5,C08,4080
0100296411,1,01,1,5,C00,4080
0100296613,1,01,1,4,B07,5000
0100296613,1,01,1,4,B10,3000
0100296613,1,01,1,4,B15,10000
0100296613,1,01,1,4,B00,24000
0100296613,1,01,1,5,C10,2000
0100296613,1,01,1,4,B02,6000
0100296613,1,01,1,5,C00,2000
0100296616,1,01,1,4,B00,23000
0100296616,1,01,1,4,B02,20000
0100296616,1,01,1,4,B07,3000
0100296616,1,01,1,5,C00,13200
0100296616,1,01,1,5,C09,8400
0100296616,1,01,1,5,C10,4800
0100296920,1,01,1,4,B02,22000
0100296920,1,01,1,4,B06,2000
0100296920,1,01,1,4,B11,1600
0100296920,1,01,1,4,B00,33750
0100296920,1,01,1,4,B07,150
0100296920,1,01,1,4,B08,8000
0100297409,1,01,1,4,B11,400
0100297409,1,01,1,4,B09,1100
0100297409,1,01,1,5,C07,10000
0100297409,1,01,1,5,C00,10900
0100297409,1,01,1,4,B00,14940
0100297409,1,01,1,5,C09,300
0100297409,1,01,1,5,C10,600
0100297409,1,01,1,4,B06,9240
0100297409,1,01,1,4,B02,4200
0100297618,1,01,1,4,B10,5000
0100297618,1,01,1,5,C00,4000
