folioviv,foliohog,numren,id_trabajo,tipoact,numprod,codigo,cosecha,aparce,nocos,vendio,uso_hog,uso_prod,deu_hog,deu_neg,pag_trab,uso_reg,uso_int,cicloagr,cantidad,cant_venta,vtapie,valor,preciokg,val_venta
0100061705,1,01,2,5,01,240,0,2,,2,2,2,2,2,2,2,2,,9, , ,90000,10000, 
0100068701,1,02,1,4,01,141,2,2,1,,,,,,,,,, , , , , , 
0100068701,1,02,1,4,02,098,2,2,1,,,,,,,,,, , , , , , 
0100073403,2,01,1,5,01,246,0,2,,1,2,2,2,2,2,2,2,,78,40, ,348000,4000,160000
0100073403,2,01,1,5,02,275,0,2,,1,2,2,2,2,2,2,2,,40,20, ,30000,750,15000
0100111204,1,03,1,5,01,246,0,2,,1,2,2,2,2,2,2,2,,6000,4500, ,300000,7500,225000
0100111204,1,03,1,5,02,275,0,2,,2,2,2,2,2,2,2,2,,200, , ,30000,1500, 
0100162004,1,02,1,4,01,098,1,2,,2,1,2,2,2,2,2,2,1,500, , ,7500,15, 
0100162004,1,02,1,4,02,140,1,2,,2,1,2,2,2,2,2,2,1,1000, , ,8000,8, 
0100162004,1,02,1,4,03,212,1,2,,1,2,2,2,2,2,2,2,2,3000,3000, ,20000,6.67,20000
0100162004,1,02,1,4,04,130,1,2,,1,2,2,2,2,2,2,2,2,1200,600, ,10000,8.33,10000
0100162004,1,02,1,4,05,194,1,2,,2,2,2,2,2,2,2,1,2,500, , ,2500,5, 
0100200802,1,01,2,4,01,010,1,2,,1,2,2,2,2,2,2,2,3,7000,7000, ,49000,7,49000
0100200802,1,01,2,4,02,026,1,2,,2,2,2,2,2,2,1,2,1,800, , ,4800,6, 
0100262814,1,01,1,4,01,112,1,2,,1,1,2,2,2,2,1,2,1,120000,120000, ,400000,3.3,400000
0100262816,1,02,2,5,01,250,0,2,,2,2,2,2,2,2,2,2,,270, , ,81000,300, 
0100262816,1,02,2,5,02,279,0,2,,1,1,2,2,2,2,1,2,,1305,1253, ,78300,60,75180
0100262816,1,02,2,5,03,294,0,2,,2,2,2,2,2,2,2,2,,20, , ,1000,50, 
0100280503,1,01,1,4,01,010,1,1,,1,1,2,2,2,2,2,2,3,84000,80640, ,408000,350,391680
0100295921,1,01,1,4,01,141,1,2,,1,2,2,2,2,2,2,2,3,50000,50000, ,80000,1.6,80000
0100296411,1,01,1,5,01,250,0,2,,2,2,2,2,2,2,2,2,,4, , ,1200,1300, 
0100296411,1,01,1,5,02,251,0,2,,2,2,2,2,2,2,2,2,,1, , ,300,300, 
0100296411,1,01,1,5,03,279,0,2,,2,1,2,2,2,2,2,2,,800, , ,1900,2.37, 
0100296613,1,01,1,4,01,141,1,2,,2,2,1,2,2,2,2,2,2,15000, , ,75000,5, 
0100296613,1,01,1,4,02,026,1,2,,2,2,1,2,2,2,2,2,2,10000, , ,35000,3.5, 
0100296613,1,01,1,4,03,141,2,2,1,,,,,,,,,, , , , , , 
0100296613,1,01,1,4,04,026,2,2,1,,,,,,,,,, , , , , , 
0100296613,1,01,1,5,01,268,0,2,,1,2,2,2,2,2,2,2,,15,4, ,225000,15000,60000
0100296613,1,01,1,5,02,240,0,2,,2,2,2,2,2,2,2,2,,4, , ,32000,8000, 
0100296613,1,01,1,5,03,267,0,2,,2,2,2,2,2,2,2,2,,1, , ,20000,20000, 
0100296616,1,01,1,4,01,141,1,2,,2,2,1,2,2,2,2,2,2,5000, , ,25000,5, 
0100296616,1,01,1,4,02,098,1,2,,1,2,2,2,2,2,2,2,2,8000,8000, ,248000,31,248000
0100296616,1,01,1,4,03,141,2,2,1,,,,,,,,,, , , , , , 
0100296616,1,01,1,4,04,098,2,2,1,,,,,,,,,, , , , , , 
0100296616,1,01,1,5,01,268,0,2,,1,2,2,2,2,2,2,2,,8,2, ,96000,12000,24000
0100296616,1,01,1,5,02,240,0,2,,2,2,2,2,2,2,2,2,,5, , ,40000,8000, 
0100296616,1,01,1,5,03,267,0,2,,2,2,2,2,2,2,2,2,,1, , ,20000,20000, 
0100296920,1,01,1,4,01,098,2,2,2,,,,,,,,,, , , , , , 
0100296920,1,01,1,4,02,140,2,2,2,,,,,,,,,, , , , , , 
0100296920,1,01,1,4,03,194,2,2,2,,,,,,,,,, , , , , , 
0100297409,1,01,1,4,01,140,1,2,,2,1,1,2,1,2,1,2,1,2000, , ,30000,10, 
0100297409,1,01,1,4,02,194,1,2,,2,2,1,2,2,2,2,2,1,3000, , ,18000,6, 
0100297409,1,01,1,5,01,268,0,2,,2,2,2,2,2,2,2,2,,4, , ,40000,10000, 
0100297409,1,01,1,5,02,269,0,2,,2,2,2,2,2,2,2,2,,1, , ,10000,10000, 
0100297409,1,01,1,5,03,240,0,2,,2,2,2,2,2,2,2,2,,3, , ,18000,6000, 
0100297409,1,01,1,5,04,267,0,2,,2,2,2,2,2,2,2,2,,1, , ,20000,20000, 
0100297618,1,01,1,4,01,140,2,2,7,,,,,,,,,, , ,30000, , , 
0100297618,1,01,1,4,02,194,2,2,7,,,,,,,,,, , ,30000, , , 
0100297618,1,01,1,5,01,268,0,2,,2,2,2,2,2,2,2,2,,5, , ,75000,15000, 
0100297618,1,01,1,5,02,240,0,2,,2,2,2,2,2,2,2,2,,2, , ,16000,8000, 
0100297618,1,01,1,5,03,294,0,2,,2,2,1,2,2,2,2,2,,11, , ,5000,2, 
0100297822,1,02,2,4,01,140,2,2,1,,,,,,,,,, , , , , , 
0100297822,1,02,2,5,01,268,0,2,,1,2,2,2,2,2,2,2,,50,10, ,750000,15000,150000
0100297822,1,02,2,5,02,240,0,2,,1,2,2,2,2,2,2,2,,10,10, ,80000,8000,80000
0100298714,1,01,1,4,01,140,2,2,1,,,,,,,,,, , , , , , 
0100298714,1,01,1,4,02,194,1,2,,2,2,2,2,2,2,1,2,3,2000, , ,6000,3, 
0100298714,1,01,1,4,03,088,1,2,,2,1,2,2,2,2,1,2,2,50, , ,100,2, 
0100298714,1,01,1,4,04,098,2,2,1,,,,,,,,,, , , , , , 
0100298714,1,01,1,4,05,194,2,2,1,,,,,,,,,, , , , , , 
0100298921,1,01,1,4,01,140,1,2,,2,2,1,2,2,2,2,2,2,3000, , ,12000,4, 
0100298921,1,01,1,4,02,080,1,2,,2,1,1,2,2,2,1,2,2,100, , ,500,5, 
0100298921,1,01,1,4,03,194,1,2,,2,2,1,2,2,2,2,2,2,6000, , ,18000,3, 
0100298921,1,01,1,5,01,268,0,2,,2,2,2,2,2,2,2,2,,12, , ,96000,8000, 
0100298921,1,01,1,5,02,269,0,2,,2,2,2,2,2,2,2,2,,8, , ,56000,7000, 
0100298921,1,01,1,5,03,243,0,2,,2,2,2,2,2,2,2,2,,10, , ,100000,10000, 
0100299201,1,01,1,4,01,140,2,2,2,,,,,,,,,, , , , , , 
0100299201,1,01,1,4,02,200,2,2,2,,,,,,,,,, , , , , , 
0100299201,1,01,1,4,03,098,2,2,2,,,,,,,,,, , , , , , 
0100299201,1,01,1,4,04,194,2,2,2,,,,,,,,,, , , , , , 
0160306205,1,01,1,5,01,268,0,2,,2,2,2,2,2,2,2,2,,6, , ,180000,30000, 
0160306205,1,01,1,5,02,240,0,2,,1,2,2,2,2,2,2,2,,7,3, ,105000,15000,45000
0160306205,1,01,1,5,03,284,0,2,,2,2,1,2,2,2,2,2,,21600, , ,172800,8, 
0160306206,1,01,2,5,01,243,0,2,,2,2,2,2,2,2,2,2,,6, , ,210000,35000, 
0160306206,1,01,2,5,02,251,0,2,,2,2,2,2,2,2,2,2,,8, , ,8000,1000, 
0160306411,1,01,1,5,01,268,0,2,,2,2,2,2,2,2,2,2,,4, , ,56000,14000, 
0160306411,1,01,1,5,02,240,0,2,,2,2,2,2,2,2,2,2,,2, , ,16000,8000, 
0160306411,1,01,1,5,03,284,0,2,,1,1,2,2,2,2,2,2,,7950,7950, ,63600,8,63600
0160307306,1,01,2,4,01,140,2,2,1,,,,,,,,,, , , , , , 
0160307306,1,01,2,4,02,098,2,2,1,,,,,,,,,, , , , , , 
0160309817,1,01,1,5,01,248,0,2,,1,2,2,2,2,2,1,1,,50,66, ,10000,200,6600
0160309817,1,01,1,5,02,277,0,2,,2,2,2,2,2,2,1,2,,50, , ,5000,100, 
0160311203,1,01,1,4,01,194,1,2,,2,2,1,2,2,2,2,2,3,5000, , ,10000,2, 
0160311203,1,01,1,4,02,098,2,2,2,,,,,,,,,, , , , , , 
0160311203,1,01,1,5,01,268,0,2,,1,2,2,2,2,2,2,2,,104,47, ,624000,6000,282000
0160311203,1,01,1,5,02,240,0,2,,1,2,2,2,2,2,2,2,,9,15, ,90000,10000,150000
0160311203,1,01,1,5,03,267,0,2,,2,2,2,2,2,2,2,2,,1, , ,30000,30000, 
0160311203,1,01,1,5,04,284,0,2,,2,2,1,2,2,2,2,2,,1260, , ,17640,14, 
0160311409,1,01,1,4,01,141,1,2,,1,2,2,2,2,2,2,2,3,42000,42000, ,168000,4,168000
0160311412,1,02,1,5,01,241,0,2,,1,2,2,2,2,2,2,2,,720,250, ,38880,1620,13500
0160311613,1,01,1,4,01,140,2,2,1,,,,,,,,,, , , , , , 
0160311613,1,01,1,4,02,098,2,2,1,,,,,,,,,, , , , , , 
0160311615,1,01,1,4,01,140,2,2,1,,,,,,,,,, , , , , , 
0160311615,1,01,1,4,02,098,2,2,6,,,,,,,,,, , , , , , 
